TUCASEID,weight,race,age,labor_force_status,sex,day,year,category,TULINENO,region,division,state,metro_status,metro_area,county,category_sum_min,category_sum_hour,category_sum_hour_weight
20200112191678,5714474.152833,White,65,Employed-At work,Male,3,2020,socializing,NA,NA,NA,NA,NA,NA,NA,0,0,0
20200112191679,3179874.989119,White,57,Retired,Male,7,2020,socializing,1,Northeast,Middle Atlantic,NJ,metropolitan,35620,0,0,0,0
20200112191681,3305036.044916,White,73,Retired,Female,7,2020,socializing,1,Midwest,East North Central,WI,metropolitan,31540,0,0,0,0
20200112191685,3718731.240472,Black,73,Retired,Female,4,2020,socializing,1,South,South Atlantic,FL,metropolitan,33100,11,80,1.3333333333333333,4958308.320629333
20200112191689,5723893.259179,White,80,Retired,Female,5,2020,socializing,1,South,West South Central,TX,metropolitan,41700,0,75,1.25,7154866.57397375
20200112191692,7083822.680558,White,65,Retired,Male,6,2020,socializing,1,Northeast,Middle Atlantic,NY,metropolitan,15380,0,0,0,0
20200112191694,22145643.200573,Black,58,Employed-At work,Male,2,2020,socializing,1,South,West South Central,TX,metropolitan,46340,423,10,0.16666666666666666,3690940.5334288334
20200112191695,3152386.649469,Asian,43,Employed-At work,Male,7,2020,socializing,NA,NA,NA,NA,NA,NA,NA,90,1.5,4728579.9742035
20200112191699,2030737.006502,White,80,Retired,Female,1,2020,socializing,1,Midwest,West North Central,IA,non-metropolitan,0,0,0,0,0
20200112191702,13814185.099234,White,29,Employed-At work,Female,4,2020,socializing,1,Midwest,East North Central,IL,metropolitan,16980,0,0,0,0
20200112191708,5795017.351789,White,32,Employed-At work,Male,7,2020,socializing,1,South,West South Central,LA,metropolitan,29340,0,263,4.383333333333334,25401492.72534179
20200112191711,2596948.18133,White,32,Retired,Female,1,2020,socializing,NA,NA,NA,NA,NA,NA,NA,335,5.583333333333333,14499627.345759166
20200112191713,10697538.710788,Black,47,Employed-At work,Male,6,2020,socializing,1,South,South Atlantic,VA,metropolitan,40060,87,0,0,0
20200112191715,17617763.488787,White,34,Employed-At work,Female,2,2020,socializing,1,Midwest,East North Central,OH,metropolitan,18140,0,15,0.25,4404440.87219675
20200112191719,8793106.090485,Asian,42,Employed-At work,Male,3,2020,socializing,1,Northeast,Middle Atlantic,PA,metropolitan,37980,29,0,0,0
20200112191723,2542999.067473,White,79,Retired,Male,1,2020,socializing,1,South,South Atlantic,FL,metropolitan,33100,99,0,0,0
20200112191727,9877725.464155,Black,63,Employed-At work,Male,4,2020,socializing,1,South,East South Central,TN,metropolitan,17300,125,0,0,0
20200112191729,4582875.965231,White,74,Employed-At work,Female,4,2020,socializing,NA,NA,NA,NA,NA,NA,NA,45,0.75,3437156.97392325
20200112191733,3012421.991474,White,60,Employed-At work,Male,7,2020,socializing,1,South,South Atlantic,FL,metropolitan,33100,86,220,3.6666666666666665,11045547.302071333
20200112191736,5354005.829924,White,72,Retired,Male,2,2020,socializing,1,South,South Atlantic,FL,metropolitan,36740,95,60,1,5354005.829924
20200112191737,4609593.75393,White,80,Retired,Female,1,2020,socializing,1,West,Pacific,CA,metropolitan,40140,0,0,0,0
20200112191739,3617109.45296,White,67,Employed-At work,Female,6,2020,socializing,NA,NA,NA,NA,NA,NA,NA,0,0,0
20200112191742,11637932.968497,White,26,Employed-At work,Male,4,2020,socializing,1,Midwest,West North Central,KS,metropolitan,48620,173,150,2.5,29094832.4212425
20200112191745,3707992.071026,White,26,Employed-At work,Female,7,2020,socializing,1,Northeast,Middle Atlantic,NY,metropolitan,15380,0,0,0,0
20200112191757,2817914.393762,White,54,Retired,Male,1,2020,socializing,1,West,Pacific,WA,metropolitan,42660,0,0,0,0
20200112191762,7593691.06204,Black,80,Retired,Female,4,2020,socializing,1,South,South Atlantic,GA,metropolitan,47580,0,0,0,0
20200112191764,11320751.557045,White,57,Retired,Male,7,2020,socializing,1,South,South Atlantic,NC,metropolitan,11700,21,0,0,0
20200112191774,15521083.968459,White,48,Employed-At work,Male,3,2020,socializing,1,South,South Atlantic,GA,metropolitan,0,0,0,0,0
20200112191779,7942537.853463,Asian,58,Employed-At work,Female,5,2020,socializing,1,West,Pacific,CA,metropolitan,41740,73,0,0,0
20200112191781,2175850.791287,Asian,52,Employed-At work,Male,7,2020,socializing,1,West,Pacific,HI,metropolitan,46520,3,0,0,0
20200112191786,4365361.666124,White,72,Retired,Male,1,2020,socializing,1,South,East South Central,KY,metropolitan,14540,0,0,0,0
20200112191790,6895144.884124,Black,49,Retired,Male,7,2020,socializing,1,South,South Atlantic,NC,metropolitan,49180,67,0,0,0
20200112191792,5049921.482383,Black,31,Employed-At work,Female,7,2020,socializing,1,South,East South Central,TN,metropolitan,32820,0,0,0,0
20200112191798,8564224.135464,White,39,Retired,Female,5,2020,socializing,1,Midwest,East North Central,MI,metropolitan,24340,0,0,0,0
